Date,Open,High,Low,Close,Adj Close,Volume
2022-04-12,0.998905,1.00069,0.998476,1.000235,1.000235,428688988
2022-04-11,0.99955,1.000328,0.998446,0.998874,0.998874,563601650
2022-04-10,1.000387,1.000583,0.999068,0.99944,0.99944,202691574
2022-04-09,0.999403,1.000564,0.999091,1.000359,1.000359,223273767
2022-04-08,0.999698,1.000488,0.998728,0.999388,0.999388,357805985
2022-04-07,0.999461,1.000737,0.998842,0.99969,0.99969,339021268
2022-04-06,0.999193,1.000437,0.998153,0.999493,0.999493,481073108
2022-04-05,0.999931,1.000559,0.998752,0.999107,0.999107,271525487
2022-04-04,0.999442,1.000566,0.998668,0.999941,0.999941,302604607
2022-04-03,0.998985,1.000507,0.998891,0.999479,0.999479,263583783
2022-04-02,1.000268,1.000969,0.998915,0.998993,0.998993,320610704
2022-04-01,0.999957,1.000432,0.998887,1.000303,1.000303,352409244
2022-03-31,0.999608,1.000508,0.998822,0.999833,0.999833,348162205
2022-03-30,0.999807,1.000555,0.998905,0.999636,0.999636,272743090
2022-03-29,0.999111,1.000311,0.99854,0.999763,0.999763,334849878
2022-03-28,1.00002,1.000476,0.998638,0.999213,0.999213,403366239
2022-03-27,0.999942,1.000429,0.999111,0.99997,0.99997,216729623
2022-03-26,0.999274,1.000382,0.99898,0.999933,0.999933,163693787
2022-03-25,0.999541,1.000273,0.998627,0.999242,0.999242,380890703
2022-03-24,0.999863,1.00013,0.998968,0.999556,0.999556,373781101
2022-03-23,0.99906,1.000158,0.998878,0.999834,0.999834,271683659
2022-03-22,0.99896,1.000155,0.998639,0.999035,0.999035,321105083
2022-03-21,0.999251,1.000367,0.998951,0.999001,0.999001,243480294
2022-03-20,0.99962,1.000012,0.998627,0.99926,0.99926,173571504
2022-03-19,0.99983,1.000615,0.99914,0.999618,0.999618,201985106
2022-03-18,0.999561,1.00072,0.999,0.999838,0.999838,309448931
2022-03-17,0.999848,1.000706,0.999088,0.9996,0.9996,232900487
2022-03-16,0.999568,1.000533,0.999158,0.999796,0.999796,364647382
2022-03-15,1.000695,1.000695,0.999107,0.999577,0.999577,254726965
2022-03-14,0.999475,1.000946,0.999151,1.000674,1.000674,253031902
2022-03-13,0.999888,1.000843,0.999418,0.999497,0.999497,213792119
2022-03-12,0.999593,1.000764,0.999409,0.999806,0.999806,164118832
2022-03-11,1.000087,1.000564,0.998924,0.999464,0.999464,274468040
2022-03-10,1.00016,1.000629,0.999009,1.000141,1.000141,308786474
2022-03-09,1.000301,1.000737,0.999081,1.000205,1.000205,354527424
2022-03-08,0.999791,1.000848,0.99922,1.000307,1.000307,405679813
2022-03-07,0.999447,1.000929,0.998728,0.999825,0.999825,325045354
2022-03-06,1.000106,1.000687,0.999171,0.999439,0.999439,245003900
2022-03-05,0.999689,1.001189,0.999176,1.000046,1.000046,215266906
2022-03-04,0.999845,1.000497,0.99877,0.999719,0.999719,492135641
2022-03-03,0.999614,1.000364,0.998606,0.999828,0.999828,262044068
2022-03-02,1.000048,1.000562,0.998757,0.999636,0.999636,360146547
2022-03-01,1.000348,1.001358,0.999092,1.000062,1.000062,310792892
2022-02-28,0.999508,1.001888,0.998279,1.0003,1.0003,320023358
2022-02-27,1.000147,1.000819,0.998689,0.999489,0.999489,297392424
2022-02-26,0.99969,1.00143,0.999036,1.000192,1.000192,205336506
2022-02-25,1.000295,1.001334,0.998994,0.999653,0.999653,330433421
2022-02-24,0.999457,1.001049,0.997994,1.000246,1.000246,646259155
2022-02-23,1.000098,1.000735,0.99854,0.999463,0.999463,334297814
2022-02-22,0.999367,1.00102,0.998319,1.00013,1.00013,358833503
2022-02-21,0.999358,1.001053,0.998457,0.999251,0.999251,414712522
2022-02-20,0.999665,1.000627,0.997608,0.999366,0.999366,272269069
2022-02-19,0.999462,1.000496,0.998727,0.999749,0.999749,228115096
2022-02-18,0.999093,1.000219,0.998371,0.999494,0.999494,324032810
2022-02-17,0.999139,1.00023,0.998225,0.999069,0.999069,362312016
2022-02-16,1.000043,1.000726,0.999001,0.999148,0.999148,297282124
2022-02-15,0.999732,1.000944,0.999212,1.000105,1.000105,343475775
2022-02-14,0.999393,1.000614,0.998753,0.999734,0.999734,244726133
2022-02-13,0.999882,1.000502,0.998802,0.999373,0.999373,181115043
2022-02-12,1.000162,1.000672,0.998746,0.99992,0.99992,283322887
2022-02-11,0.99906,1.000388,0.998268,1.00014,1.00014,460902599
2022-02-10,0.999828,1.000772,0.998574,0.999063,0.999063,463814426
2022-02-09,0.999559,1.00105,0.999086,0.999854,0.999854,319686505
2022-02-08,0.999963,1.001467,0.998438,0.999626,0.999626,438450428
2022-02-07,1.000539,1.001015,0.999203,0.999929,0.999929,399544172
2022-02-06,0.99945,1.000971,0.999158,1.00062,1.00062,220317986
2022-02-05,1.000395,1.001041,0.998868,0.99946,0.99946,362682891
2022-02-04,1.000122,1.001341,0.999285,1.000371,1.000371,344473090
2022-02-03,0.999766,1.000858,0.998872,1.000262,1.000262,242035999
2022-02-02,1.000211,1.000789,0.998755,0.999836,0.999836,255058310
2022-02-01,1.000171,1.000774,0.999049,1.000217,1.000217,326302883
2022-01-31,0.999817,1.000887,0.998994,1.00017,1.00017,275013830
2022-01-30,1.000023,1.000698,0.998997,0.999814,0.999814,247227537
2022-01-29,1.000286,1.001249,0.999065,1.000015,1.000015,370944328
2022-01-28,1.000364,1.0009,0.998684,1.000286,1.000286,515009030
2022-01-27,1.000698,1.000914,0.998497,1.000389,1.000389,670508135
2022-01-26,1.000378,1.001016,0.998803,1.000789,1.000789,639636624
